user_id,variant,arpu,day,time_on_site
1,control,110.03,1,94.0
2,control,55.22,2,201.5
3,control,6.16,3,38.1
4,control,0,4,231.3
5,control,195.49,5,196.5
6,control,128.0,6,246.8
7,control,0,7,104.0
8,control,0,8,162.6
9,control,80.54,9,207.9
10,control,0,10,200.8
11,control,94.28,11,164.2
12,control,100.55,12,226.0
13,control,0,13,201.2
14,control,96.79,14,198.2
15,control,229.37,1,107.7
16,control,102.91,2,163.3
17,control,96.64,3,217.3
18,control,135.55,4,164.2
19,control,139.31,5,210.4
20,control,113.54,6,141.5
21,control,168.29,7,174.6
22,control,69.33,8,148.3
23,control,58.15,9,296.0
24,control,159.6,10,179.3
25,control,83.9,11,196.7
26,control,126.86,12,235.5
27,control,0,13,169.6
28,control,72.55,14,208.5
29,control,30.38,1,160.9
30,control,0,2,313.5
31,control,88.08,3,174.5
32,control,303.91,4,137.7
33,control,0,5,286.8
34,control,241.58,6,262.4
35,control,177.98,7,284.6
36,control,11.15,8,44.2
37,control,62.4,9,262.7
38,control,139.12,10,168.5
39,control,140.49,11,250.3
40,control,117.88,12,195.0
41,control,173.5,13,185.4
42,control,47.32,14,125.6
43,control,85.32,1,171.6
44,control,183.08,2,226.0
45,control,107.1,3,188.0
46,control,207.62,4,212.9
47,control,190.74,5,162.5
48,control,152.62,6,181.6
49,control,40.62,7,83.3
50,control,124.49,8,244.8
51,control,197.15,9,196.9
52,control,103.59,10,109.4
53,control,112.85,11,137.2
54,control,54.57,12,121.5
55,control,75.25,13,165.9
56,control,0,14,203.8
57,control,110.09,1,255.9
58,control,182.6,2,187.7
59,control,207.67,3,148.7
60,control,0,4,175.3
61,control,66.89,5,112.9
62,control,0,6,266.2
63,control,14.95,7,152.7
64,control,68.17,8,205.0
65,control,139.7,9,255.9
66,control,0,10,155.9
67,control,25.18,11,198.6
68,control,42.78,12,164.5
69,control,210.33,13,159.6
70,control,70.83,14,246.3
71,control,206.04,1,56.0
72,control,49.24,2,63.1
73,control,126.68,3,126.2
74,control,22.18,4,213.1
75,control,201.37,5,205.8
76,control,0,6,146.0
77,control,0,7,319.4
78,control,92.56,8,101.3
79,control,126.15,9,318.5
80,control,53.95,10,102.3
81,control,118.4,11,217.4
82,control,159.28,12,306.7
83,control,0,13,212.7
84,control,47.63,14,77.5
85,control,87.01,1,219.1
86,control,142.88,2,172.4
87,control,180.35,3,179.9
88,control,167.09,4,186.8
89,control,108.39,5,119.1
90,control,120.58,6,198.5
91,control,199.23,7,203.9
92,control,19.41,8,247.1
93,control,146.02,9,214.9
94,control,32.97,10,162.4
95,control,78.63,11,136.2
96,control,100.54,12,91.4
97,control,0,13,228.9
98,control,0,14,290.9
99,control,96.46,1,130.9
100,control,166.3,2,111.9
101,control,182.7,3,108.8
102,control,185.94,4,141.4
103,control,27.03,5,261.1
104,control,187.36,6,147.3
105,control,76.97,7,100.1
106,control,73.48,8,214.9
107,control,65.37,9,154.7
108,control,0,10,213.8
109,control,37.54,11,223.5
110,control,204.4,12,162.8
111,control,49.25,13,170.1
112,control,99.41,14,122.5
113,control,58.31,1,34.6
114,control,127.72,2,143.1
115,control,206.67,3,141.5
116,control,110.81,4,196.0
117,control,101.46,5,259.5
118,control,92.45,6,180.5
119,control,128.14,7,173.0
120,control,149.51,8,120.3
121,control,144.24,9,75.8
122,control,74.06,10,124.9
123,control,46.35,11,175.3
124,control,98.64,12,192.7
125,control,0,13,276.9
126,control,94.55,14,158.9
127,control,52.98,1,233.7
128,control,5.4,2,169.8
129,control,127.62,3,146.2
130,control,26.59,4,113.1
131,control,145.63,5,183.6
