user_id,variant,cr_first_deposit,day,bounce_rate
1,control,0,1,0.579
2,control,0,2,0.859
3,control,0,3,0.355
4,control,0,4,0.313
5,control,0,5,0.376
6,control,0,6,0.304
7,control,0,7,0.447
8,control,0,8,0.493
9,control,0,9,0.263
10,control,0,10,0.448
11,control,0,11,0.469
12,control,0,12,0.604
13,control,0,13,0.541
14,control,0,14,0.177
15,control,0,1,0.281
16,control,0,2,0.528
17,control,0,3,0.41
18,control,0,4,0.402
19,control,0,5,0.399
20,control,0,6,0.451
21,control,1,7,0.325
22,control,0,8,0.379
23,control,0,9,0.514
24,control,0,10,0.461
25,control,0,11,0.25
26,control,0,12,0.619
27,control,0,13,0.531
28,control,0,14,0.311
29,control,0,1,0.412
30,control,0,2,0.402
31,control,0,3,0.174
32,control,0,4,0.779
33,control,0,5,0.627
34,control,0,6,0.611
35,control,0,7,0.446
36,control,0,8,0.324
37,control,0,9,0.392
38,control,0,10,0.041
39,control,0,11,0.709
40,control,0,12,0.767
41,control,0,13,0.627
42,control,0,14,0.513
43,control,0,1,0.556
44,control,0,2,0.471
45,control,0,3,0.546
46,control,0,4,0.368
47,control,0,5,0.804
48,control,0,6,0.374
49,control,0,7,0.205
50,control,1,8,0.111
51,control,0,9,0.544
52,control,0,10,0.264
53,control,0,11,0.43
54,control,0,12,0.563
55,control,0,13,0.262
56,control,0,14,0.384
57,control,0,1,0.255
58,control,0,2,0.076
59,control,0,3,0.432
60,control,0,4,0.486
61,control,0,5,0.325
62,control,0,6,0.565
63,control,0,7,0.298
64,control,0,8,0.174
65,control,0,9,0.331
66,control,0,10,0.391
67,control,0,11,0.288
68,control,0,12,0.158
69,control,0,13,0.275
70,control,0,14,0.462
71,control,0,1,0.715
72,control,0,2,0.407
73,control,0,3,0.386
74,control,0,4,0.701
75,control,0,5,0
76,control,0,6,0.532
77,control,0,7,0.252
78,control,0,8,0.524
79,control,0,9,0.605
80,control,0,10,0.654
81,control,0,11,0.37
82,control,0,12,0.288
83,control,0,13,0.739
84,control,0,14,0.373
85,control,0,1,0.592
86,control,0,2,0.647
87,control,0,3,0.429
88,control,0,4,0.546
89,control,0,5,0.433
90,control,0,6,0.537
91,control,0,7,0.193
92,control,0,8,0.281
93,control,0,9,0.533
94,control,0,10,0.447
95,control,0,11,0.608
96,control,0,12,0.315
97,control,0,13,0.569
98,control,0,14,0.355
99,control,0,1,0.237
100,control,0,2,0.324
101,control,0,3,0.659
102,control,0,4,0.483
103,control,0,5,0
104,control,0,6,0.076
105,control,0,7,0.558
106,control,0,8,0.474
107,control,0,9,0.381
108,control,0,10,0.546
109,control,0,11,0.324
110,control,0,12,0.383
111,control,0,13,0.434
112,control,0,14,0
113,control,0,1,0.29
114,control,0,2,0.782
115,control,0,3,0.483
116,control,0,4,0.508
117,control,0,5,0.646
118,control,0,6,0.218
119,control,0,7,0.442
120,control,0,8,0.294
121,control,0,9,0.494
122,control,0,10,0.361
123,control,0,11,0.252
124,control,0,12,0.206
125,control,0,13,0.651
126,control,0,14,0.326
127,control,0,1,0.672
128,control,0,2,0.512
129,control,0,3,0.176
130,control,0,4,0.676
131,control,0,5,0.479
132,control,1,6,0.437
133,control,0,7,0.761
134,control,0,8,0.39
135,control,0,9,0.298
136,control,0,10,0.124
137,control,0,11,0.706
138,control,0,12,0.367
139,control,0,13,0.178
140,control,0,14,0.602
141,control,0,1,0.585
142,control,0,2,0.329
143,control,0,3,0.141
144,control,1,4,0.366
145,control,0,5,0.363
146,control,0,6,0.666
147,control,0,7,0.546
148,control,0,8,0.374
149,control,0,9,0.497
150,control,0,10,0.453
151,control,0,11,0.058
152,control,0,12,0.324
153,control,0,13,0.472
154,control,0,14,0.326
155,control,0,1,0.655
156,control,0,2,0.158
157,control,0,3,0.705
158,control,0,4,0.343
159,control,0,5,0.699
160,control,0,6,0.519
161,control,1,7,0.41
162,control,0,8,0.705
163,control,0,9,0.366
164,control,0,10,0.647
165,control,0,11,0.144
166,control,0,12,0.326
167,control,0,13,0.106
168,control,0,14,0.297
169,control,0,1,0.266
170,control,0,2,0.42
171,control,0,3,0.136
172,control,0,4,0.566
173,control,0,5,0.542
174,control,0,6,0.482
175,control,1,7,0.374
176,control,0,8,0.514
177,control,0,9,0.575
178,control,0,10,0.662
179,control,0,11,0.523
180,control,0,12,0.3
181,control,0,13,0.199
