user_id,variant,clicks,sessions,day
1,control,0,8,1
2,control,0,4,2
3,control,1,6,3
4,control,2,10,4
5,control,0,14,5
6,control,3,9,6
7,control,2,6,7
8,control,1,9,8
9,control,1,11,9
10,control,0,6,10
11,control,0,8,11
12,control,1,8,12
13,control,2,10,13
14,control,2,10,14
15,control,1,6,1
16,control,1,10,2
17,control,0,8,3
18,control,1,8,4
19,control,1,7,5
20,control,0,9,6
21,control,2,7,7
22,control,0,11,8
23,control,0,11,9
24,control,1,4,10
25,control,0,11,11
26,control,2,7,12
27,control,1,9,13
28,control,1,8,14
29,control,2,9,1
30,control,1,7,2
31,control,0,9,3
32,control,1,10,4
33,control,1,8,5
34,control,0,9,6
35,control,0,10,7
36,control,2,8,8
37,control,1,7,9
38,control,0,5,10
39,control,0,8,11
40,control,0,10,12
41,control,3,9,13
42,control,2,9,14
43,control,3,11,1
44,control,0,8,2
45,control,2,9,3
46,control,0,4,4
47,control,1,11,5
48,control,1,8,6
49,control,2,8,7
50,control,0,10,8
51,control,1,9,9
52,control,1,7,10
53,control,1,7,11
54,control,0,12,12
55,control,0,12,13
56,control,0,8,14
57,control,2,13,1
58,control,0,10,2
59,control,1,8,3
60,control,0,10,4
61,control,0,8,5
62,control,1,8,6
63,control,1,9,7
64,control,0,10,8
65,control,2,11,9
66,control,0,13,10
67,control,1,8,11
68,control,1,9,12
69,control,1,8,13
70,control,0,9,14
71,control,2,8,1
72,control,1,12,2
73,control,3,11,3
74,control,0,10,4
75,control,0,8,5
76,control,1,9,6
77,control,0,7,7
78,control,0,9,8
79,control,1,9,9
80,control,1,6,10
81,control,2,9,11
82,control,0,8,12
83,control,0,11,13
84,control,3,11,14
85,control,1,10,1
86,control,0,10,2
87,control,0,5,3
88,control,0,8,4
89,control,0,9,5
90,control,2,6,6
91,control,0,11,7
92,control,0,8,8
93,control,0,9,9
94,control,1,11,10
95,control,0,7,11
96,control,1,6,12
97,control,1,10,13
98,control,0,7,14
99,control,1,11,1
100,control,0,6,2
101,control,1,9,3
102,control,2,12,4
103,control,0,10,5
104,control,0,10,6
105,control,0,7,7
106,control,0,6,8
107,control,1,8,9
108,control,0,8,10
109,control,1,9,11
110,control,0,11,12
111,control,3,10,13
112,control,0,8,14
113,control,0,10,1
114,control,0,7,2
115,control,1,8,3
116,control,2,7,4
117,control,0,9,5
118,control,0,9,6
119,control,1,9,7
120,control,0,10,8
121,control,0,9,9
122,control,0,10,10
123,control,1,8,11
124,control,1,10,12
125,control,0,8,13
126,control,0,10,14
127,control,1,6,1
128,control,1,11,2
129,control,0,7,3
130,control,0,9,4
131,control,1,9,5
132,control,1,8,6
133,control,1,8,7
134,control,0,10,8
135,control,0,7,9
136,control,1,8,10
137,control,2,7,11
138,control,1,8,12
139,control,3,11,13
140,control,1,8,14
141,control,1,9,1
142,control,1,9,2
143,control,0,7,3
144,control,1,8,4
145,control,2,11,5
146,control,2,9,6
147,control,3,6,7
148,control,0,5,8
149,control,1,8,9
150,control,1,8,10
151,control,1,10,11
152,control,1,8,12
153,control,1,7,13
154,control,1,7,14
155,control,0,9,1
156,control,2,13,2
157,control,2,10,3
158,control,0,6,4
159,control,1,7,5
160,control,0,11,6
161,control,2,11,7
162,control,0,8,8
163,control,0,9,9
164,control,2,8,10
165,control,0,10,11
166,control,2,11,12
167,control,0,10,13
168,control,0,6,14
169,control,0,5,1
170,control,1,7,2
171,control,3,11,3
172,control,1,10,4
173,control,1,9,5
174,control,0,8,6
175,control,0,8,7
176,control,0,10,8
177,control,0,7,9
178,control,0,9,10
179,control,1,7,11
180,control,0,5,12
181,control,0,8,13
182,control,0,11,14
183,control,1,7,1
184,control,1,8,2
185,control,1,6,3
186,control,0,9,4
187,control,0,6,5
188,control,2,8,6
189,control,3,11,7
190,control,0,7,8
191,control,0,5,9
192,control,1,10,10
193,control,1,9,11
194,control,0,7,12
195,control,0,10,13
196,control,1,7,14
197,control,0,5,1
198,control,1,9,2
199,control,2,10,3
200,control,1,10,4
201,control,0,6,5
202,control,1,8,6
203,control,1,6,7
204,control,0,6,8
205,control,3,11,9
206,control,3,11,10
207,control,1,11,11
208,control,0,10,12
209,control,0,7,13
210,control,0,7,14
211,control,0,6,1
212,control,0,6,2
213,control,1,8,3
214,control,2,9,4
215,control,1,8,5
216,control,1,7,6
217,control,1,9,7
218,control,0,7,8
219,control,0,7,9
220,control,0,10,10
221,control,1,5,11
222,control,0,12,12
223,control,3,8,13
224,control,0,7,14
225,control,1,9,1
226,control,1,7,2
227,control,1,8,3
228,control,0,10,4
229,control,0,9,5
230,control,1,7,6
231,control,3,9,7
232,control,0,10,8
233,control,0,9,9
234,control,0,6,10
235,control,0,7,11
236,control,1,6,12
237,control,0,7,13
238,control,1,6,14
239,control,0,9,1
240,control,1,9,2
241,control,0,7,3
242,control,1,9,4
243,control,1,8,5
244,control,2,8,6
245,control,0,7,7
246,control,0,9,8
247,control,1,8,9
248,control,1,8,10
249,control,0,11,11
250,control,0,7,12
251,control,1,7,13
252,control,0,6,14
253,control,3,8,1
254,control,1,8,2
255,control,0,6,3
256,control,1,6,4
257,control,0,5,5
258,control,1,8,6
259,control,1,6,7
260,control,1,7,8
261,control,0,10,9
262,control,0,10,10
263,control,0,8,11
264,control,0,6,12
265,control,0,9,13
266,control,1,12,14
267,control,0,8,1
268,control,1,11,2
269,control,1,9,3
270,control,1,9,4
271,control,0,6,5
272,control,0,7,6
273,control,0,8,7
274,control,2,8,8
275,control,2,7,9
276,control,1,8,10
